Date,Year,Month,MonthName,Quarter,Season,YearMonth,DayOfYear,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainToday_Flag,RainTomorrow_Flag,WindGust_Placeholder,Cloud_Placeholder,Temp3pm_BelowMin,IsRainDay,MeanTemp,TempRange,TempChange_9to3,HumidityDrop_9to3,PressureChange_9to3,AvgWindSpeed,RainCategory,HeatCategory,GustCategory,MaxTemp_Z,MinTemp_Z,Humidity3pm_Z,WindGustSpeed_Z,Pressure9am_Z,AnomalyType,IsAnomaly
2008-02-21,2008,2,Feb,1,Summer,2008-02,52,20.6,26.8,0.0,6.8,6.4,,,WNW,SE,4,15,86,62,1011.4,1009.7,7.0,7.0,22.1,24.9,No,No,0,0,1,0,0,0,23.7,6.2,2.8,24,-1.7,9.5,Dry (<=1 mm),Warm (20-30),,-0.03,0.2,0.09,,-0.74,,0
2008-02-22,2008,2,Feb,1,Summer,2008-02,53,19.1,25.4,0.4,4.4,9.4,,,WNW,E,11,28,77,66,1009.2,1003.1,4.0,1.0,22.3,24.9,No,No,0,0,1,0,0,0,22.25,6.3,2.6,11,-6.1,19.5,Dry (<=1 mm),Warm (20-30),,-0.46,-0.52,0.41,,-1.13,,0
2008-02-23,2008,2,Feb,1,Summer,2008-02,54,20.5,26.0,0.0,6.6,12.2,,,WSW,ESE,20,24,38,45,1007.4,1007.0,1.0,1.0,22.5,24.0,No,No,0,0,1,0,0,0,23.25,5.5,1.5,-7,-0.4,22.0,Dry (<=1 mm),Warm (20-30),,-0.28,0.15,-1.25,,-1.45,,0
2008-02-24,2008,2,Feb,1,Summer,2008-02,55,16.5,28.3,0.0,8.6,12.0,,,WNW,ESE,11,24,48,40,1007.9,1008.0,0.0,0.0,21.2,26.1,No,No,0,0,1,0,0,0,22.4,11.8,4.9,8,0.1,17.5,Dry (<=1 mm),Warm (20-30),,0.45,-1.76,-1.64,,-1.36,,0
2008-02-25,2008,2,Feb,1,Summer,2008-02,56,20.5,24.2,0.0,8.6,1.5,,,E,E,15,20,58,54,1017.5,1016.9,7.0,7.0,21.6,23.5,No,No,0,0,1,0,0,0,22.35,3.7,1.9,4,-0.6,17.5,Dry (<=1 mm),Warm (20-30),,-0.84,0.15,-0.54,,0.35,,0
2008-02-26,2008,2,Feb,1,Summer,2008-02,57,19.3,26.2,0.0,3.6,8.4,,,WSW,E,2,28,73,65,1018.3,1015.6,1.0,6.0,23.0,25.8,No,Yes,0,1,1,0,0,0,22.75,6.9,2.8,8,-2.7,15.0,Dry (<=1 mm),Warm (20-30),,-0.21,-0.42,0.33,,0.49,,0
2008-02-27,2008,2,Feb,1,Summer,2008-02,58,19.0,29.0,22.2,8.2,3.3,,,W,NNE,0,15,82,52,1014.1,1010.6,7.0,7.0,21.3,24.7,Yes,Yes,1,1,1,0,0,1,24.0,10.0,3.4,30,-3.5,7.5,Moderate (10-25),Warm (20-30),,0.67,-0.57,-0.7,,-0.26,,0
2008-02-28,2008,2,Feb,1,Summer,2008-02,59,17.9,21.4,4.2,4.2,0.0,,,S,ESE,20,9,77,88,1010.0,1010.1,8.0,8.0,20.4,19.2,Yes,Yes,1,1,1,0,0,1,19.65,3.5,-1.2,-11,0.1,14.5,Light (1-10),Warm (20-30),,-1.72,-1.09,2.15,,-0.98,,0
2008-02-29,2008,2,Feb,1,Summer,2008-02,60,14.7,20.6,33.0,7.0,8.9,,,SW,S,24,28,65,51,1015.3,1015.6,5.0,3.0,17.1,19.9,Yes,No,1,0,1,0,0,1,17.65,5.9,2.8,14,0.3,26.0,Heavy (25-50),Warm (20-30),,-1.97,-2.62,-0.78,,-0.04,,0
2008-03-01,2008,3,Mar,1,Autumn,2008-03,61,12.8,22.0,0.2,6.2,11.3,,,W,SSE,19,31,55,46,1020.9,1020.6,0.0,1.0,15.9,21.2,No,Yes,0,1,1,0,0,0,17.4,9.2,5.3,9,-0.3,25.0,Dry (<=1 mm),Warm (20-30),,-1.58,-2.82,-1.07,,0.52,,0
2008-03-02,2008,3,Mar,1,Autumn,2008-03,62,14.2,23.4,5.4,6.4,7.3,,,W,SE,13,17,93,54,1026.2,1025.2,7.0,2.0,15.1,22.4,Yes,No,1,0,1,0,0,1,18.8,9.2,7.3,39,-1.0,15.0,Light (1-10),Warm (20-30),,-1.01,-2.17,-0.45,,1.52,,0
2008-03-03,2008,3,Mar,1,Autumn,2008-03,63,15.0,23.1,0.2,2.6,11.2,,,W,ENE,15,19,78,57,1025.8,1022.5,1.0,1.0,18.2,22.5,No,No,0,0,1,0,0,0,19.05,8.1,4.3,21,-3.3,17.0,Dry (<=1 mm),Warm (20-30),,-1.14,-1.8,-0.22,,1.44,,0
2008-03-04,2008,3,Mar,1,Autumn,2008-03,64,15.5,25.4,0.0,6.8,11.3,,,WNW,E,9,19,77,57,1020.5,1018.6,0.0,2.0,18.7,23.8,No,No,0,0,1,0,0,0,20.45,9.9,5.1,20,-1.9,14.0,Dry (<=1 mm),Warm (20-30),,-0.2,-1.56,-0.22,,0.45,,0
2008-03-05,2008,3,Mar,1,Autumn,2008-03,65,18.7,25.8,0.0,6.0,8.7,,,S,ESE,19,22,72,64,1024.8,1024.2,6.0,3.0,22.6,24.1,No,No,0,0,1,0,0,0,22.25,7.1,1.5,8,-0.6,20.5,Dry (<=1 mm),Warm (20-30),,-0.03,-0.07,0.32,,1.25,,0
2008-03-06,2008,3,Mar,1,Autumn,2008-03,66,19.6,26.0,0.0,5.0,10.4,,,N,ENE,11,19,67,65,1024.2,1019.8,1.0,1.0,22.1,24.7,No,No,0,0,1,0,0,0,22.8,6.4,2.6,2,-4.4,15.0,Dry (<=1 mm),Warm (20-30),,0.05,0.35,0.4,,1.14,,0
2008-03-07,2008,3,Mar,1,Autumn,2008-03,67,19.9,24.9,0.0,7.6,4.5,,,SSW,SSE,13,24,83,75,1021.3,1020.7,5.0,7.0,22.9,23.3,No,Yes,0,1,1,0,0,0,22.4,5.0,0.4,8,-0.6,18.5,Dry (<=1 mm),Warm (20-30),,-0.4,0.49,1.17,,0.6,,0
2008-03-08,2008,3,Mar,1,Autumn,2008-03,68,16.5,24.8,17.4,6.0,9.6,,,WNW,E,9,22,88,71,1023.4,1022.3,1.0,2.0,18.8,21.5,Yes,No,1,0,1,0,0,1,20.65,8.3,2.7,17,-1.1,15.5,Moderate (10-25),Warm (20-30),,-0.44,-1.1,0.87,,0.99,,0
2008-03-09,2008,3,Mar,1,Autumn,2008-03,69,16.4,24.3,0.0,4.6,10.2,,,W,E,9,19,82,64,1025.5,1025.2,1.0,2.0,19.7,23.8,No,No,0,0,1,0,0,0,20.35,7.9,4.1,18,-0.3,14.0,Dry (<=1 mm),Warm (20-30),,-0.65,-1.15,0.32,,1.39,,0
2008-03-10,2008,3,Mar,1,Autumn,2008-03,70,19.3,26.3,0.0,4.6,10.8,,,WNW,NE,9,24,76,50,1025.1,1022.5,1.0,0.0,22.9,25.5,No,No,0,0,1,0,0,0,22.8,7.0,2.6,26,-2.6,16.5,Dry (<=1 mm),Warm (20-30),,0.17,0.21,-0.76,,1.31,,0
2008-03-11,2008,3,Mar,1,Autumn,2008-03,71,18.6,26.1,0.0,7.6,11.3,,,ENE,E,2,20,72,58,1022.0,1021.4,0.0,0.0,21.9,26.0,No,No,0,0,1,0,0,0,22.35,7.5,4.1,14,-0.6,11.0,Dry (<=1 mm),Warm (20-30),,0.09,-0.12,-0.14,,0.73,,0
2008-03-12,2008,3,Mar,1,Autumn,2008-03,72,19.3,26.4,0.0,7.0,11.1,,,W,NE,7,22,77,60,1021.9,1018.8,1.0,1.0,22.2,25.0,No,No,0,0,1,0,0,0,22.85,7.1,2.8,17,-3.1,14.5,Dry (<=1 mm),Warm (20-30),,0.21,0.21,0.02,,0.71,,0
2008-03-13,2008,3,Mar,1,Autumn,2008-03,73,19.2,26.1,0.0,6.0,10.6,,,WNW,ESE,6,20,84,69,1019.7,1019.0,1.0,4.0,22.4,25.3,No,No,0,0,1,0,0,0,22.65,6.9,2.9,15,-0.7,13.0,Dry (<=1 mm),Warm (20-30),,0.09,0.16,0.71,,0.3,,0
2008-03-14,2008,3,Mar,1,Autumn,2008-03,74,18.8,26.0,0.0,5.4,11.0,,,W,ENE,9,24,84,62,1022.8,1020.0,3.0,1.0,21.8,25.7,No,No,0,0,1,0,0,0,22.4,7.2,3.9,22,-2.8,16.5,Dry (<=1 mm),Warm (20-30),,0.05,-0.03,0.17,,0.88,,0
2008-03-15,2008,3,Mar,1,Autumn,2008-03,75,19.3,26.1,0.0,7.0,11.3,,,NW,ENE,2,20,80,64,1022.1,1020.9,1.0,1.0,22.5,25.6,No,No,0,0,1,0,0,0,22.7,6.8,3.1,16,-1.2,11.0,Dry (<=1 mm),Warm (20-30),,0.09,0.21,0.32,,0.75,,0
2008-03-16,2008,3,Mar,1,Autumn,2008-03,76,19.7,25.8,0.0,5.6,10.1,,,W,E,7,24,81,69,1024.6,1022.6,2.0,2.0,22.8,24.7,No,No,0,0,1,0,0,0,22.75,6.1,1.9,12,-2.0,15.5,Dry (<=1 mm),Warm (20-30),,-0.03,0.39,0.71,,1.22,,0
2008-03-17,2008,3,Mar,1,Autumn,2008-03,77,19.5,25.7,0.0,6.4,10.0,,,WNW,E,4,19,82,60,1024.8,1022.8,4.0,1.0,22.0,25.4,No,No,0,0,1,0,0,0,22.6,6.2,3.4,22,-2.0,11.5,Dry (<=1 mm),Warm (20-30),,-0.07,0.3,0.02,,1.25,,0
2008-03-18,2008,3,Mar,1,Autumn,2008-03,78,19.0,26.7,0.0,8.0,9.7,,,N,ENE,11,20,73,58,1023.3,1020.0,0.0,2.0,22.2,25.6,No,No,0,0,1,0,0,0,22.85,7.7,3.4,15,-3.3,15.5,Dry (<=1 mm),Warm (20-30),,0.33,0.07,-0.14,,0.97,,0
2008-03-19,2008,3,Mar,1,Autumn,2008-03,79,19.9,26.9,0.0,6.6,6.3,,,SSE,E,7,13,70,60,1021.2,1019.4,5.0,7.0,23.9,24.9,No,No,0,0,1,0,0,0,23.4,7.0,1.0,10,-1.8,10.0,Dry (<=1 mm),Warm (20-30),,0.42,0.49,0.02,,0.58,,0
2008-03-20,2008,3,Mar,1,Autumn,2008-03,80,19.7,28.1,0.0,6.0,10.4,,,NNE,NE,6,17,70,58,1014.3,1009.6,2.0,2.0,23.5,27.6,No,No,0,0,1,0,0,0,23.9,8.4,4.1,12,-4.7,11.5,Dry (<=1 mm),Warm (20-30),,0.91,0.39,-0.14,,-0.72,,0
2008-03-21,2008,3,Mar,1,Autumn,2008-03,81,17.7,19.6,1.0,7.0,0.0,,,S,SSW,26,22,87,80,1017.3,1018.9,8.0,8.0,17.8,18.4,No,Yes,0,1,1,0,0,0,18.65,1.9,0.6,7,1.6,24.0,Dry (<=1 mm),Mild (<20),,-2.56,-0.54,1.56,,-0.15,,0
2008-03-22,2008,3,Mar,1,Autumn,2008-03,82,16.9,23.2,2.2,2.2,0.6,,,ESE,E,24,30,81,60,1022.8,1022.2,7.0,7.0,19.6,21.7,Yes,No,1,0,1,0,0,1,20.05,6.3,2.1,21,-0.6,27.0,Light (1-10),Warm (20-30),,-1.09,-0.91,0.02,,0.88,,0
2008-03-23,2008,3,Mar,1,Autumn,2008-03,83,16.3,24.8,0.4,4.0,6.1,,,WNW,ESE,9,13,82,57,1023.1,1020.6,5.0,6.0,18.5,24.8,No,Yes,0,1,1,0,0,0,20.55,8.5,6.3,25,-2.5,11.0,Dry (<=1 mm),Warm (20-30),,-0.44,-1.19,-0.22,,0.93,,0
2008-03-24,2008,3,Mar,1,Autumn,2008-03,84,18.5,24.3,17.0,2.6,8.0,,,NNW,ENE,7,26,95,72,1018.7,1015.3,6.0,2.0,19.9,23.3,Yes,No,1,0,1,0,0,1,21.4,5.8,3.4,23,-3.4,16.5,Moderate (10-25),Warm (20-30),,-0.65,-0.17,0.94,,0.11,,0
2008-03-25,2008,3,Mar,1,Autumn,2008-03,85,19.8,27.5,0.4,6.4,2.5,,,NE,NNW,4,17,81,58,1011.1,1006.9,5.0,7.0,21.4,27.0,No,Yes,0,1,1,0,0,0,23.65,7.7,5.6,23,-4.2,10.5,Dry (<=1 mm),Warm (20-30),,0.66,0.44,-0.14,,-1.32,,0
2008-03-26,2008,3,Mar,1,Autumn,2008-03,86,17.0,27.2,19.0,2.4,10.5,,,W,NW,0,6,76,38,1008.9,1007.9,1.0,5.0,20.5,27.1,Yes,No,1,0,1,0,0,1,22.1,10.2,6.6,38,-1.0,3.0,Moderate (10-25),Warm (20-30),,0.54,-0.87,-1.68,,-1.73,,0
2008-03-27,2008,3,Mar,1,Autumn,2008-03,87,15.0,23.6,0.0,5.8,11.0,,,W,ESE,20,19,52,42,1014.7,1013.4,1.0,1.0,17.5,21.8,No,No,0,0,1,0,0,0,19.3,8.6,4.3,10,-1.3,19.5,Dry (<=1 mm),Warm (20-30),,-0.93,-1.8,-1.38,,-0.64,,0
2008-03-28,2008,3,Mar,1,Autumn,2008-03,88,15.2,21.7,0.0,2.6,8.3,,,SSW,SE,13,17,71,51,1017.1,1016.2,4.0,3.0,18.3,21.2,No,No,0,0,1,0,0,0,18.45,6.5,2.9,20,-0.9,15.0,Dry (<=1 mm),Warm (20-30),,-1.71,-1.7,-0.68,,-0.19,,0
2008-03-29,2008,3,Mar,1,Autumn,2008-03,89,14.4,22.9,0.2,4.8,9.3,,,W,E,15,15,85,65,1015.4,1011.2,3.0,2.0,16.7,21.7,No,No,0,0,1,0,0,0,18.65,8.5,5.0,20,-4.2,15.0,Dry (<=1 mm),Warm (20-30),,-1.22,-2.08,0.4,,-0.51,,0
2008-03-30,2008,3,Mar,1,Autumn,2008-03,90,13.1,26.8,0.0,4.6,10.9,,,W,WNW,22,15,61,22,1013.0,1009.0,0.0,1.0,16.9,25.9,No,No,0,0,1,0,0,0,19.95,13.7,9.0,39,-4.0,18.5,Dry (<=1 mm),Warm (20-30),,0.37,-2.68,-2.92,,-0.96,,0
2008-03-31,2008,3,Mar,1,Autumn,2008-03,91,13.5,25.6,0.0,5.8,10.4,,,WNW,WNW,9,17,57,31,1015.0,1012.5,4.0,1.0,16.3,24.9,No,No,0,0,1,0,0,0,19.55,12.1,8.6,26,-2.5,13.0,Dry (<=1 mm),Warm (20-30),,-0.11,-2.5,-2.23,,-0.58,,0
2008-04-01,2008,4,Apr,2,Autumn,2008-04,92,13.7,23.9,0.0,6.6,11.0,,,W,ESE,20,15,55,54,1023.0,1021.5,1.0,1.0,16.7,23.3,No,No,0,0,1,0,0,0,18.8,10.2,6.6,1,-1.5,17.5,Dry (<=1 mm),Warm (20-30),,0.15,-0.72,-0.23,,0.44,,0
2008-04-02,2008,4,Apr,2,Autumn,2008-04,93,14.1,28.7,0.0,3.8,10.5,,,W,N,6,22,75,34,1019.0,1012.4,1.0,7.0,17.8,28.0,No,No,0,0,1,0,0,0,21.4,14.6,10.2,41,-6.6,14.0,Dry (<=1 mm),Warm (20-30),,1.87,-0.55,-1.53,,-0.28,,0
2008-04-03,2008,4,Apr,2,Autumn,2008-04,94,16.4,22.2,0.0,10.6,9.7,,,SW,WSW,26,20,42,21,1009.9,1010.8,6.0,1.0,16.6,21.2,No,No,0,0,1,0,0,0,19.3,5.8,4.6,21,0.9,23.0,Dry (<=1 mm),Warm (20-30),,-0.46,0.45,-2.38,,-1.89,,0
2008-04-04,2008,4,Apr,2,Autumn,2008-04,95,11.2,22.2,0.0,7.6,10.6,,,W,E,24,15,47,37,1020.8,1019.2,1.0,0.0,13.9,21.0,No,No,0,0,1,0,0,0,16.7,11.0,7.1,10,-1.6,19.5,Dry (<=1 mm),Warm (20-30),,-0.46,-1.81,-1.34,,0.04,,0
2008-04-05,2008,4,Apr,2,Autumn,2008-04,96,11.6,22.7,0.0,4.2,10.7,,,WNW,E,13,17,71,50,1024.5,1023.4,0.0,1.0,15.2,21.0,No,No,0,0,1,0,0,0,17.15,11.1,5.8,21,-1.1,15.0,Dry (<=1 mm),Warm (20-30),,-0.28,-1.64,-0.49,,0.7,,0
2008-04-06,2008,4,Apr,2,Autumn,2008-04,97,13.1,22.7,0.0,3.6,6.4,,,W,ESE,13,20,71,55,1027.2,1024.6,5.0,6.0,17.7,22.1,No,Yes,0,1,1,0,0,0,17.9,9.6,4.4,16,-2.6,16.5,Dry (<=1 mm),Warm (20-30),,-0.28,-0.99,-0.17,,1.18,,0
2008-04-07,2008,4,Apr,2,Autumn,2008-04,98,15.3,22.0,12.0,3.2,4.7,,,SSW,SSE,11,15,83,70,1026.3,1024.2,5.0,6.0,18.2,19.8,Yes,Yes,1,1,1,0,0,1,18.65,6.7,1.6,13,-2.1,13.0,Moderate (10-25),Warm (20-30),,-0.54,-0.03,0.81,,1.02,,0
2008-04-08,2008,4,Apr,2,Autumn,2008-04,99,14.6,22.1,9.6,5.4,5.1,,,SE,SE,20,17,86,75,1026.5,1024.1,6.0,6.0,17.0,18.9,Yes,Yes,1,1,1,0,0,1,18.35,7.5,1.9,11,-2.4,18.5,Light (1-10),Warm (20-30),,-0.5,-0.33,1.13,,1.06,,0
2008-04-09,2008,4,Apr,2,Autumn,2008-04,100,15.6,22.2,22.8,5.4,5.8,,,W,E,13,20,96,62,1024.6,1021.4,7.0,5.0,16.3,21.1,Yes,Yes,1,1,1,0,0,1,18.9,6.6,4.8,34,-3.2,16.5,Moderate (10-25),Warm (20-30),,-0.46,0.11,0.29,,0.72,,0
2008-04-10,2008,4,Apr,2,Autumn,2008-04,101,13.8,22.7,2.2,3.6,10.6,,,W,E,15,15,77,60,1022.1,1019.7,5.0,1.0,18.7,21.9,Yes,No,1,0,1,0,0,1,18.25,8.9,3.2,17,-2.4,15.0,Light (1-10),Warm (20-30),,-0.28,-0.68,0.16,,0.28,,0
2008-04-11,2008,4,Apr,2,Autumn,2008-04,102,14.1,23.5,0.0,3.2,8.9,,,W,E,15,15,83,61,1020.1,1017.5,4.0,2.0,17.1,22.1,No,No,0,0,1,0,0,0,18.8,9.4,5.0,22,-2.6,15.0,Dry (<=1 mm),Warm (20-30),,0.0,-0.55,0.22,,-0.08,,0
2008-04-12,2008,4,Apr,2,Autumn,2008-04,103,14.0,23.8,0.0,4.0,7.8,,,W,E,11,9,79,59,1018.6,1016.0,7.0,4.0,17.6,22.2,No,No,0,0,1,0,0,0,18.9,9.8,4.6,20,-2.6,10.0,Dry (<=1 mm),Warm (20-30),,0.11,-0.59,0.09,,-0.35,,0
2008-04-13,2008,4,Apr,2,Autumn,2008-04,104,15.1,22.7,0.0,1.8,6.6,,,W,ESE,11,4,81,75,1016.4,1013.4,5.0,6.0,17.4,19.7,No,Yes,0,1,1,0,0,0,18.9,7.6,2.3,6,-3.0,7.5,Dry (<=1 mm),Warm (20-30),,-0.28,-0.11,1.13,,-0.74,,0
2008-04-14,2008,4,Apr,2,Autumn,2008-04,105,13.2,18.9,11.0,3.2,5.2,,,SSW,S,19,30,82,64,1019.6,1019.2,7.0,3.0,15.9,18.8,Yes,Yes,1,1,1,0,0,1,16.05,5.7,2.9,18,-0.4,24.5,Moderate (10-25),Mild (<20),,-1.65,-0.94,0.42,,-0.17,,0
2008-04-15,2008,4,Apr,2,Autumn,2008-04,106,13.8,19.7,2.8,2.8,1.7,,,SW,S,20,22,85,71,1025.4,1023.9,7.0,7.0,15.9,19.0,Yes,Yes,1,1,1,0,0,1,16.75,5.9,3.1,14,-1.5,21.0,Light (1-10),Mild (<20),,-1.36,-0.68,0.87,,0.86,,0
2008-04-16,2008,4,Apr,2,Autumn,2008-04,107,13.8,20.9,1.4,4.6,2.2,,,SSW,SSW,15,20,78,85,1026.4,1024.6,7.0,8.0,17.2,16.2,Yes,Yes,1,1,1,0,0,1,17.35,7.1,-1.0,-7,-1.8,17.5,Light (1-10),Warm (20-30),,-0.93,-0.68,1.78,,1.04,,0
